mature_miRNA,disease,potential_biomarker,miRNA_type,author,journal,title,year,method,description
hsa-miR-208b,acute heart failure,1,circulating,corsten mf et al.,circ cardiovasc genet. 3(6):499-506.,circulating microrna-208b and microrna-499 reflect myocardial damage in cardiovascular disease.,2010,"mirvana paris kit (ambion, warrington, united kingdom)|miscript kit (qiagen, venlo, the netherlands)|reverse transcriptase polymerase chain reaction, using br sybr-green supermix for iq (quanta biosciences, amsterdam, the netherlands) in a myiq icycler (bio-rad, veenendal, the netherlands) device using miscript primers sets (qiagen)","micrornas were isolated from plasmas from well-characterized patients with varying degrees of cardiac damage: (1) acute myocardial infarction, (2) viral myocarditis, (3) diastolic dysfunction, and (4) acute heart failure. Plasma levels of selected micrornas, including heart-associated (mir-1, -133a, -208b, and -499), fibrosis-associated (mir-21 and mir-29b), and leukocyte-associated (mir-146, -155, and -223) candidates, were subsequently assessed using real-time polymerase chain reaction. Cardiac damage initiates the detectable release of cardiomyocyte-specific micrornas-208b and -499 into the circulation."
hsa-miR-499,acute heart failure,1,circulating,corsten mf et al.,circ cardiovasc genet. 3(6):499-506.,circulating microrna-208b and microrna-499 reflect myocardial damage in cardiovascular disease.,2010,"mirvana paris kit (ambion, warrington, united kingdom)|miscript kit (qiagen, venlo, the netherlands)|reverse transcriptase polymerase chain reaction, using br sybr-green supermix for iq (quanta biosciences, amsterdam, the netherlands) in a myiq icycler (bio-rad, veenendal, the netherlands) device using miscript primers sets (qiagen)","micrornas were isolated from plasmas from well-characterized patients with varying degrees of cardiac damage: (1) acute myocardial infarction, (2) viral myocarditis, (3) diastolic dysfunction, and (4) acute heart failure. Plasma levels of selected micrornas, including heart-associated (mir-1, -133a, -208b, and -499), fibrosis-associated (mir-21 and mir-29b), and leukocyte-associated (mir-146, -155, and -223) candidates, were subsequently assessed using real-time polymerase chain reaction. Cardiac damage initiates the detectable release of cardiomyocyte-specific micrornas-208b and -499 into the circulation."
hsa-miR-21,acute kidney injury,0,circulating,Martino F et al.,PLoS One. 7(6): e38269.,Circulating MicroRNAs Are Not Eliminated by Hemodialysis.,2012,"MasterPure RNA Purification kit (Epicenter Technologies)|TaqMan microRNA Reverse Transcription kit (Applied Biosystems, Foster City, CA)|quantitative real-time PCR (qRT-PCR) via TaqMan MicroRNA Assays (Applied Biosystems)","In patients with acute kidney injury circulating microRNAs are not removed by dialysis. As only traces of miR-21 and -210 are detected in dialysate and ultrafiltrate, microRNAs in the circulation are likely to be transported by larger structures such as proteins and/or microvesicles. As miRNAs are not affected by dialysis they might be more robust biomarkers of acute kidney injury."
hsa-miR-210,acute kidney injury,0,circulating,Martino F et al.,PLoS One. 7(6): e38269.,Circulating MicroRNAs Are Not Eliminated by Hemodialysis.,2012,"MasterPure RNA Purification kit (Epicenter Technologies)|TaqMan microRNA Reverse Transcription kit (Applied Biosystems, Foster City, CA)|quantitative real-time PCR (qRT-PCR) via TaqMan MicroRNA Assays (Applied Biosystems)","In patients with acute kidney injury circulating microRNAs are not removed by dialysis. As only traces of miR-21 and -210 are detected in dialysate and ultrafiltrate, microRNAs in the circulation are likely to be transported by larger structures such as proteins and/or microvesicles. As miRNAs are not affected by dialysis they might be more robust biomarkers of acute kidney injury."
hsa-miR-1,acute myocardial infarction (ami),1,circulating,ai j et al.,biochem biophys res commun.391(1):73-7.,circulating microrna-1 as a potential novel biomarker for acute myocardial infarction.,2010,real-time rt-pcr,"in the present study, were recruited 159 patients with or without ami for quantification of mir-1 level in plasma using real-time rt-pcr method. Circulating mir-1 may be a novel, independent biomarker for diagnosis of ami."
hsa-miR-208a,acute myocardial infarction (ami),1,circulating,wang gk et al.,eur heart j. 31(6):659-66.,circulating microrna: a novel potential biomarker for early diagnosis of acute myocardial infarction in humans.,2010,taqman mirna quantitative reverse transcriptase polymerase chain reaction (qrt-pcr) assay,elevated cardiac-specific mir-208a in plasma may be a novel biomarker for early detection of myocardial injury in humans.
hsa-miR-208b,acute myocardial infarction (ami),1,circulating,corsten mf et al.,circ cardiovasc genet. 3(6):499-506.,circulating microrna-208b and microrna-499 reflect myocardial damage in cardiovascular disease.,2010,"mirvana paris kit (ambion, warrington, united kingdom)|miscript kit (qiagen, venlo, the netherlands)|reverse transcriptase polymerase chain reaction, using br sybr-green supermix for iq (quanta biosciences, amsterdam, the netherlands) in a myiq icycler (bio-rad, veenendal, the netherlands) device using miscript primers sets (qiagen)","micrornas were isolated from plasmas from well-characterized patients with varying degrees of cardiac damage: (1) acute myocardial infarction, (2) viral myocarditis, (3) diastolic dysfunction, and (4) acute heart failure. Plasma levels of selected micrornas, including heart-associated (mir-1, -133a, -208b, and -499), fibrosis-associated (mir-21 and mir-29b), and leukocyte-associated (mir-146, -155, and -223) candidates, were subsequently assessed using real-time polymerase chain reaction. Cardiac damage initiates the detectable release of cardiomyocyte-specific micrornas-208b and -499 into the circulation."
hsa-miR-499,acute myocardial infarction (ami),1,circulating,corsten mf et al.,circ cardiovasc genet. 3(6):499-506.,circulating microrna-208b and microrna-499 reflect myocardial damage in cardiovascular disease.,2010,"mirvana paris kit (ambion, warrington, united kingdom)|miscript kit (qiagen, venlo, the netherlands)|reverse transcriptase polymerase chain reaction, using br sybr-green supermix for iq (quanta biosciences, amsterdam, the netherlands) in a myiq icycler (bio-rad, veenendal, the netherlands) device using miscript primers sets (qiagen)","micrornas were isolated from plasmas from well-characterized patients with varying degrees of cardiac damage: (1) acute myocardial infarction, (2) viral myocarditis, (3) diastolic dysfunction, and (4) acute heart failure. Plasma levels of selected micrornas, including heart-associated (mir-1, -133a, -208b, and -499), fibrosis-associated (mir-21 and mir-29b), and leukocyte-associated (mir-146, -155, and -223) candidates, were subsequently assessed using real-time polymerase chain reaction. Cardiac damage initiates the detectable release of cardiomyocyte-specific micrornas-208b and -499 into the circulation."
hsa-miR-126,acute myocardial infarction (ami),1,circulating,Long G et al.,Int J Biol Sci. 8(6):811-8.,Human Circulating MicroRNA-1 and MicroRNA-126 as Potential Novel Indicators for Acute Myocardial Infarction.,2012,"TRIzol LS Reagent|ELISA assay|Transcript First-strand cDNA Synthesis Su-perMix (TransGen Biotech, Beijing, China)|Bulge-Loop miRNA qRT-PCR Detection Kit (Ribobio Co., Guangzhou, China)|TransStart Green qPCR SuperMix (TransGen Biotech, Beijing, China)","Increased miR-1 and decreased miR-126 in plasma from patients with AMI after the onset of symptoms compared with healthy subjects were found. A remarkable finding in this study is that miR-1, miR-126 and cTnI expression levels exhibited the same trend. Results suggest that the plasma concentrations of miR-1 and miR-126 may be useful indicators for AMI."
hsa-miR-34a,acute myocardial infarction (ami),1,circulating,Fan F et al.,Curr Pharm Des.,MicroRNA-34a Promotes Cardiomyocyte Apoptosis Post Myocardial Infarction Through Down-regulating Aldehyde Dehydrogenase 2.,2013,,"serum mir-34a levels in acute myocardial infarction (ami) patients and rats were significantly higher than healthy subjects and sham rats. results proved that mir-34a could promote cardiomyocyte apoptosis via negatively regulating aldh2 and circulating mir-34a was increased in the condition of mi. thus, mir-34a may constitute a new therapeutic target and diagnostic marker for patients with mi."
hsa-miR-208b,acute viral myocarditis (vm),1,circulating,corsten mf et al.,circ cardiovasc genet. 3(6):499-506.,circulating microrna-208b and microrna-499 reflect myocardial damage in cardiovascular disease.,2010,"mirvana paris kit (ambion, warrington, united kingdom)|miscript kit (qiagen, venlo, the netherlands)|reverse transcriptase polymerase chain reaction, using br sybr-green supermix for iq (quanta biosciences, amsterdam, the netherlands) in a myiq icycler (bio-rad, veenendal, the netherlands) device using miscript primers sets (qiagen)","micrornas were isolated from plasmas from well-characterized patients with varying degrees of cardiac damage: (1) acute myocardial infarction, (2) viral myocarditis, (3) diastolic dysfunction, and (4) acute heart failure. Plasma levels of selected micrornas, including heart-associated (mir-1, -133a, -208b, and -499), fibrosis-associated (mir-21 and mir-29b), and leukocyte-associated (mir-146, -155, and -223) candidates, were subsequently assessed using real-time polymerase chain reaction. Cardiac damage initiates the detectable release of cardiomyocyte-specific micrornas-208b and -499 into the circulation."
hsa-miR-499,acute viral myocarditis (vm),1,circulating,corsten mf et al.,circ cardiovasc genet. 3(6):499-506.,circulating microrna-208b and microrna-499 reflect myocardial damage in cardiovascular disease.,2010,"mirvana paris kit (ambion, warrington, united kingdom)|miscript kit (qiagen, venlo, the netherlands)|reverse transcriptase polymerase chain reaction, using br sybr-green supermix for iq (quanta biosciences, amsterdam, the netherlands) in a myiq icycler (bio-rad, veenendal, the netherlands) device using miscript primers sets (qiagen)","micrornas were isolated from plasmas from well-characterized patients with varying degrees of cardiac damage: (1) acute myocardial infarction, (2) viral myocarditis, (3) diastolic dysfunction, and (4) acute heart failure. Plasma levels of selected micrornas, including heart-associated (mir-1, -133a, -208b, and -499), fibrosis-associated (mir-21 and mir-29b), and leukocyte-associated (mir-146, -155, and -223) candidates, were subsequently assessed using real-time polymerase chain reaction. Cardiac damage initiates the detectable release of cardiomyocyte-specific micrornas-208b and -499 into the circulation."
hsa-miR-29a,advanced colorectal neoplasia (carcinomas and advanced adenomas),1,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-92a,advanced colorectal neoplasia (carcinomas and advanced adenomas),1,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-134,advanced colorectal neoplasia (carcinomas and advanced adenomas),0,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-146a,advanced colorectal neoplasia (carcinomas and advanced adenomas),0,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-17-3p,advanced colorectal neoplasia (carcinomas and advanced adenomas),0,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-181d,advanced colorectal neoplasia (carcinomas and advanced adenomas),0,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-191,advanced colorectal neoplasia (carcinomas and advanced adenomas),0,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-221,advanced colorectal neoplasia (carcinomas and advanced adenomas),0,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-222,advanced colorectal neoplasia (carcinomas and advanced adenomas),0,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-223,advanced colorectal neoplasia (carcinomas and advanced adenomas),0,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-25,advanced colorectal neoplasia (carcinomas and advanced adenomas),0,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-320a,advanced colorectal neoplasia (carcinomas and advanced adenomas),0,circulating,huang z et al.,int j cancer. 127(1):118-26.,plasma micrornas are promising novel biomarkers for early detection of colorectal cancer.,2010,real-time rt-pcr,"the aim of this study was to investigate whether plasma mirnas can be used as biomarkers for the early detection of colorectal carcinoma (crc) and were measured the levels of 12 mirnas (mir-134, -146a, -17-3p, -181d, -191, -221, -222, -223, -25, -29a, -320a and -92a) in plasma samples from patients with advanced colorectal neoplasia (carcinomas and advanced adenomas) and healthy controls using real-time rt-pcr."
hsa-miR-21,aortic stenosis (as),1,circulating,Villar AV et al.,Int J Cardiol.,Myocardial and circulating levels of microRNA-21 reflect left ventricular fibrosis in aortic stenosis patients.,2012,,the myocardial and plasma levels of mir-21 were significantly higher in the as patients compared with the controls and correlated directly with the echocardiographic mean transvalvular gradients.
hsa-miR-106a,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-135a*,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-150,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-150*,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-15a,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-16-1,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-195,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-20a,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-21,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-222,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-29a,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-483-5p,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-486-5p,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-93,b-cll,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-200b,biliary atresia (BA),1,circulating,Zahm AM et al.,J Pediatr Gastroenterol Nutr.,Circulating MicroRNA is a Biomarker of Biliary Atresia.,2012,microfluidic array platform,In this study authors examined the ability of serum miRNAs to distinguish BA from other forms of neonatal hyperbilirubinemia.The miR-200b/429 cluster was significantly increased in the sera of BA patients and has promising diagnostic clinical performance.
hsa-miR-429,biliary atresia (BA),1,circulating,Zahm AM et al.,J Pediatr Gastroenterol Nutr.,Circulating MicroRNA is a Biomarker of Biliary Atresia.,2012,microfluidic array platform,In this study authors examined the ability of serum miRNAs to distinguish BA from other forms of neonatal hyperbilirubinemia.The miR-200b/429 cluster was significantly increased in the sera of BA patients and has promising diagnostic clinical performance.
hsa-miR-134,bipolar disorder (bd),1,circulating,rong h et al.,j psychiatr res. 45(1):92-5.,microrna-134 plasma levels before and after treatment for bipolar mania.,2011,real-time rt-pcr,decreased plasma mir-134 levels may be directly associated with the pathophysiology and severity of manic symptoms in bipolar disorder (bd)
